time_,read/joint_1,read/joint_2,read/joint_3,read/joint_4,read/joint_5,read/joint_6,read/joint_7,read/joint_8,read/joint_9,read/joint_10,read/joint_11,read/joint_12,read/joint_13,read/joint_14,read/joint_15,read/joint_16,read/joint_17,read/joint_18,read/joint_19,read/joint_20,read/joint_21,read/joint_22,read/joint_23,read/joint_24,read/joint_25,read/joint_26,read/joint_27,read/joint_28,read/joint_29,read/joint_30,read/joint_31,read/joint_32,read/joint_33,read/joint_34,read/joint_35,read/joint_36,read/joint_37,read/joint_38,read/joint_39,read/joint_40,read/joint_41
0.750695,-0.136535,0.081367,0.014547,-0.009389,0.525059,0.043997,-0.149111,0.074779,-0.005445,0.008909,0.525066,0.002912,0.010697,-0.071183,-0.104618,0.511929,-0.054711,-1.841232,-0.102046,0.456669,0.248433,0.576329,2.488612,-2.248223,-0.746470,0.769700,1.440466,1.209118,-1.290963,0.000412,-0.001871,-0.002629,0.004460,-0.004733,-0.000420,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060061
0.752673,-0.136535,0.081367,0.014547,-0.009389,0.525059,0.043997,-0.149111,0.074779,-0.005445,0.008909,0.525066,0.002912,0.010697,-0.071183,-0.104618,0.511929,-0.054711,-1.841232,-0.102046,0.456669,0.248433,0.576329,2.488612,-2.248223,-0.746470,0.769700,1.440466,1.209118,-1.290963,0.000412,-0.001871,-0.002629,0.004460,-0.004733,-0.000420,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060061
0.754691,-0.136535,0.081367,0.014547,-0.009389,0.525059,0.043997,-0.149111,0.074779,-0.005445,0.008909,0.525066,0.002912,0.010697,-0.071183,-0.104618,0.511929,-0.054711,-1.841232,-0.102046,0.456669,0.248433,0.576329,2.488612,-2.248223,-0.746470,0.769700,1.440466,1.209118,-1.290963,0.000412,-0.001871,-0.002629,0.004460,-0.004733,-0.000420,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060061
0.756662,-0.136535,0.081367,0.014547,-0.009389,0.525059,0.043997,-0.149111,0.074779,-0.005445,0.008909,0.525066,0.002912,0.010697,-0.071183,-0.104618,0.511929,-0.054711,-1.841232,-0.102046,0.456669,0.248433,0.576329,2.488612,-2.248223,-0.746470,0.769700,1.440466,1.209118,-1.290963,0.000412,-0.001871,-0.002629,0.004460,-0.004733,-0.000420,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060061
0.758705,-0.136535,0.081367,0.014547,-0.009389,0.525059,0.043997,-0.149111,0.074779,-0.005445,0.008909,0.525066,0.002912,0.010697,-0.071183,-0.104618,0.511929,-0.054711,-1.841232,-0.102046,0.456669,0.248433,0.576329,2.488612,-2.248223,-0.746470,0.769700,1.440466,1.209118,-1.290963,0.000412,-0.001871,-0.002629,0.004460,-0.004733,-0.000420,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060061
0.760665,-0.136535,0.081367,0.014547,-0.009389,0.525059,0.043997,-0.149111,0.074779,-0.005445,0.008909,0.525066,0.002912,0.010697,-0.071183,-0.104618,0.511929,-0.054711,-1.841232,-0.102046,0.456669,0.248433,0.576329,2.488612,-2.248223,-0.746470,0.769700,1.440466,1.209118,-1.290963,0.000412,-0.001871,-0.002629,0.004460,-0.004733,-0.000420,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060061
0.762673,-0.136540,0.081367,0.014547,-0.009386,0.525059,0.043997,-0.149114,0.074779,-0.005447,0.008910,0.525066,0.002909,0.010696,-0.071184,-0.104621,0.511930,-0.054711,-1.841226,-0.102035,0.456679,0.248428,0.576332,2.488611,-2.248225,-0.746471,0.769702,1.440448,1.209115,-1.290923,0.000368,0.001353,0.003729,0.003326,-0.000099,-0.002018,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.060072
0.764663,-0.136543,0.081367,0.014545,-0.009384,0.525059,0.043997,-0.149116,0.074779,-0.005448,0.008911,0.525066,0.002907,0.010694,-0.071185,-0.104623,0.511930,-0.054711,-1.841223,-0.102029,0.456684,0.248425,0.576333,2.488613,-2.248228,-0.746468,0.769705,1.440438,1.209117,-1.290872,0.000268,0.000818,0.004329,-0.001309,-0.000787,0.000132,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060078
0.766698,-0.136543,0.081367,0.014545,-0.009384,0.525059,0.043997,-0.149116,0.074779,-0.005449,0.008911,0.525066,0.002905,0.010693,-0.071186,-0.104624,0.511930,-0.054711,-1.841221,-0.102023,0.456688,0.248423,0.576334,2.488613,-2.248231,-0.746465,0.769707,1.440428,1.209117,-1.290812,0.000145,-0.002536,0.001892,-0.002282,0.003296,-0.003127,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060083
0.768663,-0.136545,0.081367,0.014546,-0.009382,0.525060,0.043997,-0.149117,0.074779,-0.005449,0.008911,0.525066,0.002905,0.010693,-0.071186,-0.104624,0.511930,-0.054711,-1.841221,-0.102023,0.456688,0.248423,0.576334,2.488613,-2.248231,-0.746465,0.769707,1.440428,1.209117,-1.290812,0.000145,-0.002536,0.001892,-0.002282,0.003296,-0.003127,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060083
